date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
20200101,11333014.374723341,11333014.374723341,0.0,10694902.291040646,638112.0836826937,10694902.291040646,638112.0836826937,0.0,0.0
20400101,12556320.39494931,12556320.39494931,0.0,11849329.341582345,706991.0533669647,11849329.341582345,706991.0533669647,0.0,0.0
20600101,13928376.534590293,13928376.534590293,0.0,13144131.0480031,784245.4865871919,13144131.0480031,784245.4865871919,0.0,0.0
20800101,15414454.237576313,15414454.237576313,0.0,14546534.26614228,867919.9714340313,14546534.26614228,867919.9714340313,0.0,0.0
21000101,16976691.85175493,16976691.851754922,6.040390269124514e-09,16020809.166586556,955882.6851683754,16020809.16658655,955882.6851683753,5.8710957512715445e-09,1.692945178529699e-10
21200101,18590385.016494725,18590385.016494583,1.3923140938540959e-07,17543642.382355206,1046742.6341395178,17543642.38235507,1046742.6341395138,1.3532915915459648e-07,3.902250230813108e-09
21400101,20245267.269273877,20245267.269272614,1.2627665487455997e-06,19105345.510176633,1139921.7590972444,19105345.510175403,1139921.759097209,1.2273748862029523e-06,3.5391662542647265e-08
21600101,21940553.496677298,21940553.496668532,8.765394745094493e-06,20705177.64291153,1235375.8537657666,20705177.64290301,1235375.853765521,8.519726301327397e-06,2.4566844376709577e-07
21800101,23680664.83107774,23680664.831027545,5.0191463131341086e-05,22347310.97845781,1333353.8526199302,22347310.978409022,1333353.8526185234,4.878474284133124e-05,1.4067202900098486e-06
22000101,25472429.688881405,25472429.688633043,0.00024835844878522964,24038189.45519687,1434240.2336845375,24038189.45495547,1434240.2336775768,0.00024139768599201676,6.960762793212866e-06
